instance_id,relabel,D_S,D_T,D_U,L_primary
R4N124098,1,0.5,0.0,-0.5,-0.5
R4N124099,0,0.0,0.0,0.5,0.25
R4N124100,1,-0.5,-0.5,0.0,0.25
R4N124101,0,0.5,0.0,0.0,-0.25
R4N124102,1,0.0,0.0,0.0,0.0
R4N124103,0,0.5,0.0,0.0,-0.25
R4N124104,1,-0.5,0.5,0.0,0.25
R4N124105,0,0.0,0.5,-0.5,-0.25
R4N124106,1,0.5,0.0,0.0,-0.25
R4N124107,0,0.5,0.0,-1.0,-0.75
R4N124108,1,-0.5,-0.5,0.0,0.25
R4N124109,0,0.5,-0.5,0.0,-0.25
R4N124110,1,0.0,0.0,0.0,0.0
R4N124111,0,0.0,0.0,0.5,0.25
R4N124112,1,-0.5,-0.5,0.5,0.5
R4N124113,0,-0.5,0.0,1.0,0.75
R4N124114,1,0.0,-0.5,0.0,0.0
R4N124115,0,0.0,0.5,0.0,0.0
R4N124116,1,0.0,0.0,0.5,0.25
R4N124117,0,0.0,-0.5,0.0,0.0
R4N124118,1,0.0,0.5,0.0,0.0
R4N124119,0,0.5,-0.5,-0.5,-0.5
R4N124120,1,0.5,0.0,0.0,-0.25
R4N124121,0,0.0,0.0,0.0,0.0
R4N124122,1,0.5,0.5,-0.5,-0.5
R4N124123,0,0.0,0.5,0.0,0.0
R4N124124,1,0.0,0.0,0.5,0.25
